dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
555,Unsure,2021-08-01,912,1039,210,220,1178.43354541723,1342.64008786689,271.341485217658,284.292842300033,6307,8167.874700103436
555,Unsure,2021-09-01,39,124,12,41,51.0845113547876,162.245811384306,15.711083691094,53.6109642013839,6282,8217.754043240018
555,Unsure,2021-10-01,3452,4518,535,611,4567.60000753823,5978.06587766974,707.854934407467,808.338482079908,6260,8277.926108952332
555,Unsure,2021-11-01,5020,6836,735,851,6678.85589501379,9094.90409898731,977.834826155972,1132.12392085217,6156,8201.23887320992
555,Unsure,2021-12-01,5865,7658,863,978,7738.54376905012,10104.3808000516,1138.83450328782,1290.60595383158,6305,8328.943891177778
555,Unsure,2022-01-01,6305,8394,748,883,8161.86804795818,10866.1146473086,968.217767825056,1142.94642507322,6187,8026.168063203819
555,Unsure,2022-02-01,6545,8640,817,941,8487.95859888779,11204.9198813864,1059.54317798731,1220.34618338629,5977,7761.520720457133
555,Unsure,2022-03-01,6689,8430,861,991,8719.69249310927,10989.4520836378,1122.03274677918,1291.43090888881,5970,7796.8582835000825
555,Unsure,2022-04-01,15453,18488,1302,1425,20463.7263006462,24482.6256160569,1723.77498219188,1886.63441636992,5960,7890.543779149399
555,Unsure,2022-05-01,16249,19971,1435,1570,21839.3678880742,26843.5623108601,1928.80674360091,2110.44732184723,5933,7988.501622543979
555,Unsure,2022-06-01,6050,9039,1246,1596,8250.6093976901,12330.0182814848,1699.51216858627,2178.02861534742,5799,7930.572757406023
555,Unsure,2022-07-01,1559,2021,376,460,2156.82398406886,2795.86277366855,519.986979852751,636.164024663709,5774,8022.060983424765
555,Unsure,2022-08-01,50,428,19,153,70.4237712498818,602.85169135623,26.7565917740501,215.426396844556,5721,8077.040217085014
555,Unsure,2022-09-01,34,410,13,179,48.2819680294113,582.627278969977,18.4618539456433,254.394293507642,5769,8203.952663219621
555,Unsure,2022-10-01,3662,4732,544,624,5284.32024017088,6828.22681065958,784.948459639649,900.379761663258,5513,7954.555997117603
556,Unsure,2021-04-01,13406,16967,1441,1586,14924.2533381119,18886.7971619272,1602.99297873975,1764.3527200088,10498,11650.903921615592
556,Unsure,2021-05-01,29330,34767,2026,2169,33653.7784193714,39887.2923008137,2326.18016285679,2490.48654043566,10480,12002.35558223129
556,Unsure,2021-06-01,36960,45217,2190,2291,42936.3109546033,52530.8209704421,2543.88201990711,2661.34921926763,10451,12167.595354542143
556,Unsure,2021-07-01,12656,17265,1925,2164,14897.151848915,20324.489405887,2266.32202045425,2548.2482268841,10642,12557.463558081588
556,Unsure,2021-08-01,2433,2842,469,512,2892.30841791096,3378.90343114421,557.575361063188,608.752971583298,10487,12491.54415694759
556,Unsure,2021-09-01,90,440,42,116,107.916033971739,527.165083018279,50.3682939603333,138.98578047417,10370,12441.05576871668
556,Unsure,2021-10-01,6935,9790,975,1100,8353.09383956493,11792.0689270583,1174.33145525357,1324.83619500535,10424,12561.50443075032
556,Unsure,2021-11-01,9242,13493,1314,1466,11120.045782882,16235.6001971627,1580.57287630538,1763.46260200113,10385,12515.63510815212
556,Unsure,2021-12-01,11057,15171,1446,1656,13157.0068054524,18052.1361457713,1719.99358712452,1969.68499273194,10596,12631.651641991735
556,Unsure,2022-01-01,10645,14787,1242,1456,12528.4774130931,17403.7294657334,1461.60046846907,1713.38044870064,10625,12528.712040715138
556,Unsure,2022-02-01,12332,17176,1524,1772,14497.3389300781,20191.9160674231,1791.62492438291,2083.18553320116,10236,12050.526226873197
556,Unsure,2022-03-01,12988,17201,1468,1678,15241.0808026544,20185.1300771282,1722.56668203516,1968.98482587561,10396,12218.485604728021
556,Unsure,2022-04-01,31878,38873,2212,2399,37495.2467618861,45722.679954264,2601.61263616313,2821.48312208517,10226,12041.395504018841
556,Unsure,2022-05-01,37509,46843,2556,2758,44586.1282397487,55683.122757864,3037.7611150899,3277.83950799623,10291,12251.931256020189
